Log(E/eV)	r [M]	Theta	Synchr	Brems ei
15.7778	15.0254	0	1.96046	-12.5449
17	15.0254	0	3.18269	-12.4958
6	15.2783	0	-8.82643	-14.6608
7.22222	15.2783	0	-7.6042	-14.0888
8.44444	15.2783	0	-6.38198	-13.8502
9.66667	15.2783	0	-5.15976	-13.6971
10.8889	15.2783	0	-3.93754	-13.5842
12.1111	15.2783	0	-2.71531	-13.4946
13.3333	15.2783	0	-1.49309	-13.4204
14.5556	15.2783	0	-0.27087	-13.357
15.7778	15.2783	0	0.951352	-13.3017
17	15.2783	0	2.17357	-13.2527
6	15.5313	0	-9.83583	-15.4179
7.22222	15.5313	0	-8.61361	-14.8459
8.44444	15.5313	0	-7.39138	-14.6073
9.66667	15.5313	0	-6.16916	-14.4542
10.8889	15.5313	0	-4.94694	-14.3412
12.1111	15.5313	0	-3.72472	-14.2516
13.3333	15.5313	0	-2.5025	-14.1774
14.5556	15.5313	0	-1.28027	-14.1141
15.7778	15.5313	0	-0.0580512	-14.0588
17	15.5313	0	1.16417	-14.0097
6	15.7842	0	-10.8441	-16.1741
7.22222	15.7842	0	-9.62192	-15.6021
8.44444	15.7842	0	-8.3997	-15.3635
9.66667	15.7842	0	-7.17748	-15.2104
10.8889	15.7842	0	-5.95526	-15.0974
12.1111	15.7842	0	-4.73303	-15.0079
13.3333	15.7842	0	-3.51081	-14.9337
14.5556	15.7842	0	-2.28859	-14.8703
15.7778	15.7842	0	-1.06637	-14.815
17	15.7842	0	0.155856	-14.766
6	16.0372	0	-11.8502	-16.9286
7.22222	16.0372	0	-10.6279	-16.3566
8.44444	16.0372	0	-9.40571	-16.118
9.66667	16.0372	0	-8.18348	-15.9649
10.8889	16.0372	0	-6.96126	-15.8519
12.1111	16.0372	0	-5.73904	-15.7624
13.3333	16.0372	0	-4.51682	-15.6882
14.5556	16.0372	0	-3.2946	-15.6248
15.7778	16.0372	0	-2.07237	-15.5695
17	16.0372	0	-0.850151	-15.5205
6	16.2902	0	-12.8528	-17.6806
7.22222	16.2902	0	-11.6306	-17.1086
8.44444	16.2902	0	-10.4083	-16.87
9.66667	16.2902	0	-9.18611	-16.7169
10.8889	16.2902	0	-7.96389	-16.6039
12.1111	16.2902	0	-6.74166	-16.5143
13.3333	16.2902	0	-5.51944	-16.4401
14.5556	16.2902	0	-4.29722	-16.3768
15.7778	16.2902	0	-3.075	-16.3215
17	16.2902	0	-1.85277	-16.2724
6	16.5431	0	-13.8511	-18.4293
7.22222	16.5431	0	-12.6288	-17.8573
8.44444	16.5431	0	-11.4066	-17.6187
9.66667	16.5431	0	-10.1844	-17.4656
10.8889	16.5431	0	-8.96217	-17.3526
12.1111	16.5431	0	-7.73995	-17.2631
13.3333	16.5431	0	-6.51773	-17.1888
14.5556	16.5431	0	-5.29551	-17.1255
15.7778	16.5431	0	-4.07329	-17.0702
17	16.5431	0	-2.85106	-17.0212
6	16.7961	0	-14.8442	-19.1741
7.22222	16.7961	0	-13.622	-18.6021
