gamma	 omPrim	 omMin	 omMax	 probtot
10	2.37025e-09	5.95543e-12	9.43352e-07	1.13806
10	6.42875e-09	1.61528e-11	2.55863e-06	1.03595
10	1.74365e-08	4.38107e-11	6.93969e-06	1.02881
10	4.72926e-08	1.18826e-10	1.88223e-05	1.02814
10	1.2827e-07	3.2229e-10	5.10511e-05	1.02813
10	3.47905e-07	8.74138e-10	0.000138463	1.02812
10	9.43612e-07	2.3709e-09	0.000375541	1.02812
10	2.55933e-06	6.43052e-09	0.0010185	1.02812
10	6.94161e-06	1.74413e-08	0.00276198	1.02812
10	1.88275e-05	4.73056e-08	0.00748769	1.02811
10	5.10654e-05	1.28305e-07	0.0202826	1.02809
10	0.000138503	3.47996e-07	0.054821	1.02806
10	0.000375659	9.43837e-07	0.147303	1.02803
10	0.00101889	2.55978e-06	0.389674	1.02855
10	0.0027635	6.9416e-06	0.990637	1.03419
10	0.00749538	1.88186e-05	2.29638	1.08003
10	0.0203295	5.09756e-05	4.4674	1.5308
10	0.0551392	0.00013778	6.85781	0.92309
10	0.149552	0.000370212	8.54322	0.867751
10	0.405627	0.000979345	9.39447	0.777124
10	1.10017	0.00248967	10.1002	0.720964
10	2.98396	0.00577105	11.984	0.887712
10	8.09332	0.0112264	17.0933	0.955159
12.5893	2.19513e-12	3.47355e-15	1.38722e-09	138192
12.5893	5.95379e-12	9.42121e-15	3.76253e-09	18630.3
12.5893	1.61483e-11	2.55529e-14	1.0205e-08	2584.99
12.5893	4.37986e-11	6.93064e-14	2.76788e-08	349.463
12.5893	1.18794e-10	1.87978e-13	7.50724e-08	48.2211
12.5893	3.22201e-10	5.09847e-13	2.03617e-07	6.84929
12.5893	8.73897e-10	1.38285e-12	5.52264e-07	1.71781
12.5893	2.37025e-09	3.75065e-12	1.49789e-06	1.10773
12.5893	6.42875e-09	1.01728e-11	4.06269e-06	1.03414
12.5893	1.74365e-08	2.75914e-11	1.10191e-05	1.02862
12.5893	4.72926e-08	7.48354e-11	2.98868e-05	1.0284
12.5893	1.2827e-07	2.02974e-10	8.10608e-05	1.02836
12.5893	3.47905e-07	5.50521e-10	0.000219856	1.02836
12.5893	9.43612e-07	1.49316e-09	0.000596293	1.02836
12.5893	2.55933e-06	4.04986e-09	0.00161718	1.02836
12.5893	6.94161e-06	1.09843e-08	0.00438526	1.02836
12.5893	1.88275e-05	2.97924e-08	0.0118869	1.02835
12.5893	5.10654e-05	8.0805e-08	0.0321884	1.02832
12.5893	0.000138503	2.19164e-07	0.0869227	1.02827
12.5893	0.000375659	5.94421e-07	0.232999	1.02827
12.5893	0.00101889	1.61215e-06	0.612515	1.02918
12.5893	0.0027635	4.37198e-06	1.53336	1.0383
12.5893	0.00749538	1.18535e-05	3.44028	1.11236
12.5893	0.0203295	3.21172e-05	6.35342	0.948547
12.5893	0.0551392	8.68705e-05	9.23731	0.909319
12.5893	0.149552	0.000233868	11.0939	0.843096
12.5893	0.405627	0.000621794	11.9818	0.746248
12.5893	1.10017	0.00160079	12.6894	0.681265
12.5893	2.98396	0.0038159	14.5732	0.851984
12.5893	8.09332	0.00779052	19.6826	0.938256
15.8489	2.19513e-12	2.1891e-15	2.20117e-09	95614
15.8489	5.95379e-12	5.93744e-15	5.97018e-09	12448.6
15.8489	1.61483e-11	1.6104e-14	1.61928e-08	1737.91
15.8489	4.37986e-11	4.36783e-14	4.39192e-08	240.62
15.8489	1.18794e-10	1.18468e-13	1.19121e-07	32.4221
15.8489	3.22201e-10	3.21316e-13	3.23088e-07	4.9967
15.8489	8.73897e-10	8.71497e-13	8.76303e-07	1.49611
15.8489	2.37025e-09	2.36374e-12	2.37677e-06	1.0778
15.8489	6.42875e-09	6.4111e-12	6.44645e-06	1.03203
15.8489	1.74365e-08	1.73887e-11	1.74845e-05	1.02871
15.8489	4.72926e-08	4.71628e-11	4.74227e-05	1.02841
15.8489	1.2827e-07	1.27918e-10	0.000128623	1.0284
15.8489	3.47905e-07	3.46949e-10	0.000348855	1.0284
15.8489	9.43612e-07	9.41021e-10	0.000946154	1.0284
15.8489	2.55933e-06	2.5523e-09	0.00256596	1.0284
15.8489	6.94161e-06	6.92254e-09	0.00695766	1.02839
15.8489	1.88275e-05	1.87758e-08	0.0188569	1.02838
15.8489	5.10654e-05	5.0925e-08	0.0510409	1.02835
15.8489	0.000138503	1.38122e-07	0.137677	1.02829
15.8489	0.000375659	3.74618e-07	0.367939	1.02833
15.8489	0.00101889	1.01603e-06	0.959762	1.0299
15.8489	0.0027635	2.75543e-06	2.35835	1.04461
15.8489	0.00749538	7.47126e-06	5.09664	1.16591
15.8489	0.0203295	2.02477e-05	8.91161	0.93848
15.8489	0.0551392	5.47969e-05	12.3085	0.892542
15.8489	0.149552	0.000147746	14.3211	0.81536
15.8489	0.405627	0.000394409	15.2399	0.71415
15.8489	1.10017	0.00102587	15.9491	0.643243
15.8489	2.98396	0.00250388	17.8329	0.73772
15.8489	8.09332	0.00534098	22.9423	0.919388
19.9526	2.19513e-12	1.38021e-15	3.4912e-09	64649.6
19.9526	5.95379e-12	3.74351e-15	9.46907e-09	8670.86
19.9526	1.61483e-11	1.01534e-14	2.56827e-08	1206.96
19.9526	4.37986e-11	2.75389e-14	6.96585e-08	162.777
19.9526	1.18794e-10	7.46929e-14	1.88933e-07	22.3507
19.9526	3.22201e-10	2.02588e-13	5.12437e-07	3.67074
19.9526	8.73897e-10	5.49473e-13	1.38987e-06	1.32684
19.9526	2.37025e-09	1.49032e-12	3.76971e-06	1.062
19.9526	6.42875e-09	4.04215e-12	1.02245e-05	1.0311
19.9526	1.74365e-08	1.09634e-11	2.77315e-05	1.0284
19.9526	4.72926e-08	2.97358e-11	7.52152e-05	1.02827
19.9526	1.2827e-07	8.06516e-11	0.000204003	1.02826
19.9526	3.47905e-07	2.18749e-10	0.000553302	1.02826
19.9526	9.43612e-07	5.93307e-10	0.00150063	1.02825
19.9526	2.55933e-06	1.60921e-09	0.0040696	1.02825
19.9526	6.94161e-06	4.36462e-09	0.011034	1.02825
19.9526	1.88275e-05	1.1838e-08	0.0298989	1.02823
19.9526	5.10654e-05	3.21079e-08	0.0808864	1.02819
19.9526	0.000138503	8.70849e-08	0.217873	1.02811
19.9526	0.000375659	2.36195e-07	0.580077	1.02824
19.9526	0.00101889	6.40605e-07	1.49868	1.03089
19.9526	0.0027635	1.73734e-06	3.60135	1.05456
19.9526	0.00749538	4.71103e-06	7.46064	1.25874
19.9526	0.0203295	1.27694e-05	12.3337	0.927054
19.9526	0.0551392	3.45738e-05	16.2461	0.872391
19.9526	0.149552	9.33328e-05	18.3977	0.7851
19.9526	0.405627	0.000249958	19.3422	0.681416
19.9526	1.10017	0.000655575	20.0528	0.607125
19.9526	2.98396	0.00163198	21.9366	0.73699
19.9526	8.09332	0.00361963	27.0459	0.90642
25.1189	2.19513e-12	8.70451e-16	5.53574e-09	42724.3
25.1189	5.95379e-12	2.3609e-15	1.50144e-08	5715.28
25.1189	1.61483e-11	6.40341e-15	4.07233e-08	790.876
